,co,nh3,no,no2,o3,pm10,pm2_5,so2,latitude,longitude,Count,AQI,Air_Pollution_Level
4635,264.8646,0.09862028,0.43276408,80.386406,30.330833,28.492374,106.23767,0.28202918,40.1911,105.0282,5.0,1785.0,Hazardous
4636,264.15472,0.10373983,0.47726065,74.69296,25.051094,29.419998,110.63526,0.2661221,40.1911,105.0282,5.0,1770.0,Hazardous
4637,262.74588,0.11009785,0.5165645,70.32609,25.926653,29.35134,107.42292,0.26992851,40.1911,105.0282,5.0,1770.0,Hazardous
4638,262.00497,0.111995794,0.5441778,68.91921,28.101782,29.464758,105.9201,0.28264907,40.1911,105.0282,5.0,1758.0,Hazardous
4639,261.45425,0.13146879,0.63592124,70.36305,31.032415,29.205173,102.71887,0.26866797,40.1911,105.0282,5.0,1758.0,Hazardous
4640,258.4239,0.11209735,0.3603949,91.00753,38.853874,23.885023,75.72732,0.18602358,40.1911,105.0282,5.0,1758.0,Hazardous
4641,256.23685,0.0940528,0.24635647,94.2904,29.878546,22.17429,81.41874,0.110757366,40.1911,105.0282,5.0,1758.0,Hazardous
4642,259.16116,0.09189808,0.2503717,93.38872,29.363934,20.790834,79.25921,0.09483219,40.1911,105.0282,5.0,1758.0,Hazardous
4643,255.29686,0.08622684,0.01878886,109.83055,39.195644,14.668109,47.87037,0.03235183,40.1911,105.0282,5.0,1754.0,Hazardous
4644,251.50177,0.08816035,0.17137852,116.473335,49.56329,16.478876,57.42558,0.045780838,40.1911,105.0282,5.0,1746.0,Hazardous
4645,250.69609,0.083372995,0.31365612,117.578705,55.749958,17.16774,60.56125,0.039288074,40.1911,105.0282,5.0,1741.0,Hazardous
4646,252.84384,0.08384057,0.3902637,116.94507,58.546467,18.075277,64.85246,0.035640076,40.1911,105.0282,5.0,1738.0,Hazardous
4647,254.09506,0.087575875,0.3861377,118.63808,61.030197,19.481592,69.57895,0.033488847,40.1911,105.0282,5.0,1724.0,Hazardous
4648,255.94873,0.09917406,0.41920605,125.76245,82.87374,22.015219,73.4239,0.06293348,40.1911,105.0282,5.0,1724.0,Hazardous
4649,258.9721,0.11362434,0.5062661,136.94748,112.73947,24.719728,74.37181,0.11611428,40.1911,105.0282,5.0,1724.0,Hazardous
4650,263.9298,0.10985033,0.58616847,147.6486,136.04541,26.655289,70.92415,0.21724193,40.1911,105.0282,5.0,1753.0,Hazardous
4651,269.39026,0.11535808,0.7156704,150.60573,164.6969,26.921293,61.106407,0.49789572,40.1911,105.0282,5.0,1785.0,Hazardous
4652,271.83096,0.101813935,0.8278238,141.76671,150.42456,26.972195,64.89456,0.6364444,40.1911,105.0282,5.0,1799.0,Hazardous
4653,276.6461,0.10079953,0.7705854,135.47585,135.15451,27.544973,78.51015,0.60177684,40.1911,105.0282,5.0,1827.0,Hazardous
4654,285.10617,0.10853298,0.6753069,137.62393,134.88666,28.292732,85.15066,0.5493513,40.1911,105.0282,5.0,1877.0,Hazardous
4655,290.72073,0.120559484,0.6163544,143.47087,151.8139,29.517418,88.632385,0.513604,40.1911,105.0282,5.0,1910.0,Hazardous
4656,289.63644,0.16841264,0.60894406,149.36118,211.64476,31.141459,86.1822,0.7715941,40.1911,105.0282,5.0,1910.0,Hazardous
4657,296.51672,0.16806886,0.9252312,146.28723,257.04468,31.400057,59.30448,1.3617955,40.1911,105.0282,5.0,1944.0,Hazardous
4658,314.8131,0.16519228,1.0267518,142.45091,240.4484,31.998108,40.749435,2.0177631,40.1911,105.0282,5.0,2052.0,Hazardous
4659,331.36685,0.18205868,0.97192365,134.97034,215.14265,30.291506,35.645283,2.1428132,40.1911,105.0282,5.0,2149.0,Hazardous
4660,340.38037,0.22263807,0.9419132,128.63184,215.11797,29.335222,39.006603,2.101887,40.1911,105.0282,5.0,2202.0,Hazardous
